code,name,board
PEGE,Panca Global Kapital Tbk.,Pengembangan
PGAS,Perusahaan Gas Negara Tbk.,Utama
PGLI,Pembangunan Graha Lestari Inda,Pengembangan
PICO,Pelangi Indah Canindo Tbk,Pengembangan
PJAA,Pembangunan Jaya Ancol Tbk.,Pengembangan
PKPK,Perdana Karya Perkasa Tbk,Pengembangan
PNBN,Bank Pan Indonesia Tbk,Utama
PNBS,Bank Panin Dubai Syariah Tbk.,Pengembangan
PNIN,Paninvest Tbk.,Utama
PNLF,Panin Financial Tbk.,Utama
PNSE,Pudjiadi & Sons Tbk.,Pengembangan
PSAB,J Resources Asia Pasifik Tbk.,Pengembangan
PSDN,Prasidha Aneka Niaga Tbk,Pengembangan
PTBA,Bukit Asam Tbk.,Utama
PTIS,Indo Straits Tbk.,Pengembangan
PTPP,PP (Persero) Tbk.,Utama
PTRO,Petrosea Tbk.,Utama
PTSN,Sat Nusapersada Tbk,Pengembangan
PTSP,Pioneerindo Gourmet Internatio,Pengembangan
PUDP,Pudjiadi Prestige Tbk.,Utama
PWON,Pakuwon Jati Tbk.,Utama
PYFA,Pyridam Farma Tbk,Pengembangan
RAJA,Rukun Raharja Tbk.,Utama
RALS,Ramayana Lestari Sentosa Tbk.,Utama
RANC,Supra Boga Lestari Tbk.,Pengembangan
RDTX,Roda Vivatex Tbk,Pengembangan
RELI,Reliance Sekuritas Indonesia T,Pengembangan
RICY,Ricky Putra Globalindo Tbk,Pengembangan
RIGS,Rig Tenders Indonesia Tbk.,Pengembangan
ROTI,Nippon Indosari Corpindo Tbk.,Pengembangan
RUIS,Radiant Utama Interinsco Tbk.,Pengembangan
SAFE,Steady Safe Tbk,Pengembangan
SAME,Sarana Meditama Metropolitan T,Utama
SCCO,Supreme Cable Manufacturing & ,Pengembangan
SCMA,Surya Citra Media Tbk.,Utama
SDPC,Millennium Pharmacon Internati,Pengembangan
SDRA,Bank Woori Saudara Indonesia 1,Utama
SGRO,Sampoerna Agro Tbk.,Utama
SHID,Hotel Sahid Jaya International,Pengembangan
SIDO,Industri Jamu dan Farmasi Sido,Utama
SILO,Siloam International Hospitals,Utama
SIMP,Salim Ivomas Pratama Tbk.,Utama
SIPD,Sreeya Sewu Indonesia Tbk.,Pengembangan
SKBM,Sekar Bumi Tbk.,Pengembangan
SKLT,Sekar Laut Tbk.,Pengembangan
SMAR,Smart Tbk.,Pengembangan
SMBR,Semen Baturaja Tbk.,Utama
SMDM,Suryamas Dutamakmur Tbk.,Pengembangan
SMDR,Samudera Indonesia  Tbk.,Utama
SMGR,Semen Indonesia (Persero) Tbk.,Utama
SMMA,Sinarmas Multiartha Tbk.,Utama
SMRA,Summarecon Agung Tbk.,Utama
SMSM,Selamat Sempurna Tbk.,Utama
SOCI,Soechi Lines Tbk.,Utama
SONA,Sona Topas Tourism Industry Tb,Pengembangan
SPMA,Suparma Tbk.,Pengembangan
SRAJ,Sejahteraraya Anugrahjaya Tbk.,Utama
SRSN,Indo Acidatama Tbk,Pengembangan
SRTG,Saratoga Investama Sedaya Tbk.,Utama
SSIA,Surya Semesta Internusa Tbk.,Utama
SSMS,Sawit Sumbermas Sarana Tbk.,Utama
SSTM,Sunson Textile Manufacture Tbk,Pengembangan
STAR,Buana Artha Anugerah Tbk.,Pengembangan
STTP,Siantar Top Tbk.,Pengembangan
SULI,SLJ Global Tbk.,Pengembangan
TALF,Tunas Alfin Tbk.,Pengembangan
TBIG,Tower Bersama Infrastructure T,Utama
TBLA,Tunas Baru Lampung Tbk.,Utama
TBMS,Tembaga Mulia Semanan Tbk.,Pengembangan
TCID,Mandom Indonesia Tbk.,Pengembangan
TGKA,Tigaraksa Satria Tbk.,Pengembangan
TINS,Timah Tbk.,Utama
TIRA,Tira Austenite Tbk,Pengembangan
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Utama
TLKM,Telkom Indonesia (Persero) Tbk,Utama
TMAS,Temas Tbk.,Utama
TMPO,Tempo Intimedia Tbk.,Pengembangan
TOBA,TBS Energi Utama Tbk.,Utama
TOTL,Total Bangun Persada Tbk.,Utama
TOTO,Surya Toto Indonesia Tbk.,Pengembangan
TOWR,Sarana Menara Nusantara Tbk.,Utama
TPIA,Chandra Asri Pacific Tbk.,Pengembangan
TPMA,Trans Power Marine Tbk.,Utama
TRIM,Trimegah Sekuritas Indonesia T,Utama
TRIS,Trisula International Tbk.,Pengembangan
TRST,Trias Sentosa Tbk.,Pengembangan
TRUS,Trust Finance Indonesia Tbk,Pengembangan
TSPC,Tempo Scan Pacific Tbk.,Utama
ULTJ,Ultrajaya Milk Industry & Trad,Utama
UNIC,Unggul Indah Cahaya Tbk.,Utama
UNIT,Nusantara Inti Corpora Tbk,Pengembangan
UNTR,United Tractors Tbk.,Utama
UNVR,Unilever Indonesia Tbk.,Utama
VICO,Victoria Investama Tbk.,Pengembangan
VINS,Victoria Insurance Tbk.,Pengembangan
VOKS,Voksel Electric Tbk.,Pengembangan
VRNA,Mizuho Leasing Indonesia Tbk.,Pengembangan
WAPO,Wahana Pronatural Tbk.,Pengembangan
WEHA,WEHA Transportasi Indonesia Tb,Pengembangan
WIIM,Wismilak Inti Makmur Tbk.,Utama
WIKA,Wijaya Karya (Persero) Tbk.,Pengembangan
WINS,Wintermar Offshore Marine Tbk.,Utama
WOMF,Wahana Ottomitra Multiartha Tb,Pengembangan
WTON,Wijaya Karya Beton Tbk.,Utama
YULE,Yulie Sekuritas Indonesia Tbk.,Pengembangan
ZBRA,Dosni Roha Indonesia Tbk.,Pengembangan
SHIP,Sillo Maritime Perdana Tbk.,Utama
CASA,Capital Financial Indonesia Tb,Pengembangan
DAYA,Duta Intidaya Tbk.,Pengembangan
DPUM,Dua Putra Utama Makmur Tbk.,Pengembangan
IDPR,Indonesia Pondasi Raya Tbk.,Pengembangan
KINO,Kino Indonesia Tbk.,Pengembangan
MARI,Mahaka Radio Integra Tbk.,Pengembangan
OASA,Maharaksa Biru Energi Tbk.,Pengembangan
POWR,Cikarang Listrindo Tbk.,Utama
PBSA,Paramita Bangun Sarana Tbk.,Pengembangan
PRDA,Prodia Widyahusada Tbk.,Utama
BOGA,Bintang Oto Global Tbk.,Pengembangan
BRIS,Bank Syariah Indonesia Tbk.,Utama
PORT,Nusantara Pelabuhan Handal Tbk,Pengembangan
CARS,Industri dan Perdagangan Bintr,Utama
CLEO,Sariguna Primatirta Tbk.,Utama
FIRE,Alfa Energi Investama Tbk.,Pengembangan
KMTR,Kirana Megatara Tbk.,Pengembangan
WOOD,Integra Indocabinet Tbk.,Utama
HRTA,Hartadinata Abadi Tbk.,Utama
HOKI,Buyung Poetra Sembada Tbk.,Utama
MPOW,Megapower Makmur Tbk.,Pengembangan
MARK,Mark Dynamics Indonesia Tbk.,Utama
MDKI,Emdeki Utama Tbk.,Pengembangan
KIOS,Kioson Komersial Indonesia Tbk,Pengembangan
MTWI,Malacca Trust Wuwungan Insuran,Pengembangan
MCAS,M Cash Integrasi Tbk.,Utama
PPRE,PP Presisi Tbk.,Pengembangan
WEGE,Wijaya Karya Bangunan Gedung T,Utama
PSSI,IMC Pelita Logistik Tbk.,Utama
MORA,Mora Telematika Indonesia Tbk.,Utama
DWGL,Dwi Guna Laksana Tbk.,Pengembangan
PBID,Panca Budi Idaman Tbk.,Utama
JMAS,Asuransi Jiwa Syariah Jasa Mit,Pengembangan
CAMP,Campina Ice Cream Industry Tbk,Pengembangan
IPCM,Jasa Armada Indonesia Tbk.,Pengembangan
PCAR,Prima Cakrawala Abadi Tbk.,Pengembangan
LCKM,LCK Global Kedaton Tbk.,Pengembangan
HELI,Jaya Trishindo Tbk.,Pengembangan
INPS,Indah Prakasa Sentosa Tbk.,Pengembangan
GHON,Gihon Telekomunikasi Indonesia,Pengembangan
DFAM,Dafam Property Indonesia Tbk.,Pengembangan
NICK,Charnic Capital Tbk.,Pengembangan
BTPS,Bank BTPN Syariah Tbk.,Utama
SPTO,Surya Pertiwi Tbk.,Utama
PRIM,Royal Prima Tbk.,Pengembangan
HEAL,Medikaloka Hermina Tbk.,Utama
TRUK,Guna Timur Raya Tbk.,Pengembangan
PZZA,Sarimelati Kencana Tbk.,Pengembangan
TUGU,Asuransi Tugu Pratama Indonesi,Utama
MSIN,MNC Digital Entertainment Tbk.,Utama
TNCA,Trimuda Nuansa Citra Tbk.,Pengembangan
MAPA,Map Aktif Adiperkasa Tbk.,Utama
TCPI,Transcoal Pacific Tbk.,Pengembangan
IPCC,Indonesia Kendaraan Terminal T,Utama
RISE,Jaya Sukses Makmur Sentosa Tbk,Pengembangan
BPTR,Batavia Prosperindo Trans Tbk.,Pengembangan
NFCX,NFC Indonesia Tbk.,Pengembangan
MGRO,Mahkota Group Tbk.,Pengembangan
FILM,MD Entertainment Tbk.,Utama
MOLI,Madusari Murni Indah Tbk.,Pengembangan
PANI,Pantai Indah Kapuk Dua Tbk.,Pengembangan
CITY,Natura City Developments Tbk.,Pengembangan
SAPX,Satria Antaran Prima Tbk.,Pengembangan
SURE,Super Energy Tbk.,Pengembangan
MPRO,Maha Properti Indonesia Tbk.,Pengembangan
GOOD,Garudafood Putra Putri Jaya Tb,Utama
SKRN,Superkrane Mitra Utama Tbk.,Pengembangan
CAKK,Cahayaputra Asa Keramik Tbk.,Pengembangan
SATU,Kota Satu Properti Tbk.,Pengembangan
ZONE,Mega Perintis Tbk.,Pengembangan
PEHA,Phapros Tbk.,Pengembangan
FOOD,Sentra Food Indonesia Tbk.,Pengembangan
BEEF,Estika Tata Tiara Tbk.,Pengembangan
NATO,Surya Permata Andalan Tbk.,Pengembangan
JAYA,Armada Berjaya Trans Tbk.,Pengembangan
COCO,Wahana Interfood Nusantara Tbk,Pengembangan
JAST,Jasnita Telekomindo Tbk.,Pengembangan
FITT,Hotel Fitra International Tbk.,Pengembangan
BOLA,Bali Bintang Sejahtera Tbk.,Utama
CCSI,Communication Cable Systems In,Pengembangan
SFAN,Surya Fajar Capital Tbk.,Pengembangan
POLU,Golden Flower Tbk.,Pengembangan
KJEN,Krida Jaringan Nusantara Tbk.,Pengembangan
ITIC,Indonesian Tobacco Tbk.,Pengembangan
PAMG,Bima Sakti Pertiwi Tbk.,Pengembangan
BLUE,Berkah Prima Perkasa Tbk.,Pengembangan
EAST,Eastparc Hotel Tbk.,Pengembangan
LIFE,MSIG Life Insurance Indonesia ,Pengembangan
FUJI,Fuji Finance Indonesia Tbk.,Pengembangan
INOV,Inocycle Technology Group Tbk.,Pengembangan
SMKL,Satyamitra Kemas Lestari Tbk.,Pengembangan
KEEN,Kencana Energi Lestari Tbk.,Utama
TFAS,Telefast Indonesia Tbk.,Pengembangan
OPMS,Optima Prima Metal Sinergi Tbk,Pengembangan
NZIA,Nusantara Almazia Tbk.,Pengembangan
SLIS,Gaya Abadi Sempurna Tbk.,Pengembangan
IRRA,Itama Ranoraya Tbk.,Pengembangan
DMMX,Digital Mediatama Maxima Tbk.,Pengembangan
TEBE,Dana Brata Luhur Tbk.,Utama
KEJU,Mulia Boga Raya Tbk.,Pengembangan
PSGO,Palma Serasih Tbk.,Utama
AGAR,Asia Sejahtera Mina Tbk.,Pengembangan
IFSH,Ifishdeco Tbk.,Pengembangan
IFII,Indonesia Fibreboard Industry ,Pengembangan
